retry_count,time_taken,tab_switches,mouse_idle_time,typing_pauses,used_visual_toggle,subject,frustration_label,struggle_type
1,9.3,0,0.92,1,1,Science,Low,None
0,3.97,0,2.82,1,1,Math,Low,Mixed/Unclear
0,5.68,0,1.41,1,0,English,Low,None
1,10.95,0,3.02,1,0,English,Low,None
1,11.65,1,2.27,0,0,English,Low,ADHD-pattern
1,10.54,1,2.86,1,1,Science,Low,ADHD-pattern
1,9.67,4,14.69,2,1,Math,High,ADHD-pattern
1,7.59,2,11.03,1,1,Math,Medium,ADHD-pattern
1,30.5,0,7.03,7,1,Math,Medium,Dyscalculia-pattern
1,8.81,1,1.62,0,0,Science,Low,ADHD-pattern
2,9.65,3,13.05,2,1,Math,High,ADHD-pattern
1,25.05,3,10.21,0,0,Science,High,ADHD-pattern
0,4.72,1,1.19,1,1,English,Low,ADHD-pattern
0,5.67,0,0.95,0,1,Math,Low,Mixed/Unclear
0,34.14,3,16.86,0,1,Math,High,ADHD-pattern
3,29.08,0,10.09,3,1,Math,High,Dyscalculia-pattern
1,7.43,0,0.88,1,0,Math,Low,Dyscalculia-pattern
1,8.46,0,2.44,0,0,Math,Low,Dyscalculia-pattern
4,24.16,1,6.72,7,0,Math,High,Dyscalculia-pattern
2,4.22,2,7.95,0,0,Math,Medium,Mixed/Unclear
2,21.39,3,5.55,1,1,English,Medium,ADHD-pattern
2,42.72,1,13.08,3,1,Math,Medium,Dyscalculia-pattern
0,11.18,0,0.68,0,0,Science,Low,None
1,5.67,3,16.9,1,1,Science,High,ADHD-pattern
1,41.68,1,9.87,5,0,Math,Medium,Mixed/Unclear
1,44.99,1,15.86,7,0,Math,Medium,ADHD-pattern
1,13.24,0,4.99,1,1,English,Low,None
1,12.67,1,19.58,1,1,English,Medium,ADHD-pattern
4,39.41,1,6.44,3,1,Math,High,Dyscalculia-pattern
1,10.78,0,2.14,1,0,English,Low,None
0,8.6,1,2.06,0,0,Math,Low,ADHD-pattern
0,6.94,1,0.8,1,1,Science,Low,ADHD-pattern
2,1.96,4,6.58,0,1,Math,High,ADHD-pattern
2,11.28,3,12.06,1,1,Math,High,ADHD-pattern
0,8.45,0,4.46,1,1,English,Low,None
0,10.98,3,19.24,2,1,Science,High,ADHD-pattern
1,8.11,1,2.82,1,0,English,Low,ADHD-pattern
0,30.18,4,5.74,2,1,Science,High,ADHD-pattern
0,9.46,0,1.5,1,0,English,Low,None
4,15.46,0,10.92,7,0,Math,High,Dyscalculia-pattern
1,22.38,4,16.05,1,1,English,High,ADHD-pattern
0,10.56,0,3.52,1,0,English,Low,None
0,6.99,0,2.76,0,0,English,Low,None
1,15.93,2,14.03,2,0,Math,Medium,ADHD-pattern
1,8.58,0,1.74,1,0,Math,Low,Dyscalculia-pattern
1,9.14,0,4.6,1,1,English,Low,None
1,34.59,3,15.86,1,1,Math,High,ADHD-pattern
1,10.68,0,1.09,1,0,Math,Low,Dyscalculia-pattern
3,15.66,1,10.75,3,1,Math,High,Dyscalculia-pattern
4,39.99,0,15.31,3,1,Math,High,Dyscalculia-pattern
2,33.63,1,15.07,7,1,Math,High,Dyscalculia-pattern
1,24.27,0,6.4,5,1,Math,Medium,Dyscalculia-pattern
1,26.54,2,8.41,2,1,Math,Medium,ADHD-pattern
1,33.91,3,17.69,1,0,Math,High,ADHD-pattern
0,10.74,1,2.92,1,0,Math,Low,ADHD-pattern
0,7.83,1,1.42,1,1,English,Low,ADHD-pattern
2,33.0,1,16.47,1,0,Science,Medium,ADHD-pattern
1,34.06,0,16.91,5,1,Math,Medium,Dyscalculia-pattern
0,11.52,0,2.99,0,0,Math,Low,Mixed/Unclear
1,7.08,1,1.97,1,0,Science,Low,ADHD-pattern
2,15.17,3,5.56,1,0,Math,Medium,ADHD-pattern
0,3.89,0,1.86,1,0,English,Low,None
0,33.93,4,6.56,0,0,English,High,ADHD-pattern
0,10.08,0,0.67,1,0,English,Low,None
0,9.97,0,1.19,0,0,Math,Low,Mixed/Unclear
0,8.95,0,0.83,0,0,Math,Low,Mixed/Unclear
0,5.39,0,2.35,1,0,English,Low,None
1,27.56,1,12.68,0,0,Math,Medium,ADHD-pattern
0,5.55,1,4.39,1,0,English,Low,ADHD-pattern
0,5.9,0,0.66,0,1,English,Low,None
1,8.43,1,2.81,1,0,Science,Low,ADHD-pattern
0,8.87,0,2.66,1,1,Science,Low,None
1,11.97,3,11.36,0,1,Math,High,ADHD-pattern
0,6.89,0,2.53,1,0,Math,Low,Mixed/Unclear
1,11.03,1,2.41,1,0,Science,Low,ADHD-pattern
0,20.86,2,7.63,1,0,Math,Medium,ADHD-pattern
1,6.03,1,3.3,1,0,English,Low,ADHD-pattern
0,9.32,0,2.8,0,0,Math,Low,Mixed/Unclear
4,17.09,1,13.6,3,0,Math,High,Dyscalculia-pattern
1,6.78,0,0.89,0,1,Science,Low,None
0,12.95,0,1.63,0,0,Science,Low,None
1,9.37,1,2.66,0,0,English,Low,ADHD-pattern
0,9.1,1,1.82,0,0,English,Low,ADHD-pattern
0,5.07,1,4.78,0,1,English,Low,ADHD-pattern
0,7.48,1,0.94,0,1,English,Low,ADHD-pattern
3,17.16,1,6.51,3,1,Math,High,Dyscalculia-pattern
1,10.16,1,2.16,1,0,English,Low,ADHD-pattern
4,39.96,0,7.06,3,0,Math,High,Dyscalculia-pattern
2,4.13,3,17.68,0,1,Science,High,ADHD-pattern
1,30.92,0,16.87,5,1,Math,Medium,Dyscalculia-pattern
0,4.32,0,0.93,0,1,Math,Low,Mixed/Unclear
4,28.92,1,15.12,5,1,Math,High,Dyscalculia-pattern
1,6.36,0,2.88,1,1,English,Low,None
0,7.79,1,1.15,1,1,English,Low,ADHD-pattern
4,28.88,1,17.45,7,0,Math,High,Dyscalculia-pattern
0,7.89,1,3.01,0,1,Science,Low,ADHD-pattern
0,9.54,0,1.16,1,1,English,Low,None
1,14.48,3,16.54,0,1,English,High,ADHD-pattern
1,5.56,0,1.33,1,1,English,Low,None
2,24.9,4,7.19,2,0,English,High,ADHD-pattern
2,28.02,2,16.39,2,0,Science,High,ADHD-pattern
0,13.65,2,21.17,1,1,Science,High,ADHD-pattern
0,3.69,0,1.77,1,1,Math,Low,Mixed/Unclear
3,41.29,1,7.57,5,0,Math,High,Dyscalculia-pattern
2,36.64,0,10.93,7,1,Math,High,Dyscalculia-pattern
1,11.77,1,1.94,0,1,English,Low,ADHD-pattern
2,33.23,4,12.85,1,1,Math,High,ADHD-pattern
0,10.86,0,2.1,0,1,Math,Low,Mixed/Unclear
0,3.75,0,1.18,1,0,Science,Low,None
1,10.96,0,1.54,0,1,Math,Low,Dyscalculia-pattern
0,14.06,1,10.42,0,1,Math,Medium,ADHD-pattern
0,11.26,1,2.24,0,1,Math,Low,ADHD-pattern
0,13.15,0,2.02,0,1,English,Low,None
0,4.1,0,1.55,1,0,Math,Low,Mixed/Unclear
2,19.46,2,17.22,1,1,Math,High,ADHD-pattern
1,4.69,0,1.81,0,0,English,Low,None
0,8.51,1,1.17,1,1,Science,Low,ADHD-pattern
0,13.05,1,18.12,2,1,Math,Medium,ADHD-pattern
2,12.84,2,19.12,2,1,Math,High,ADHD-pattern
0,9.44,1,0.59,0,0,Math,Low,ADHD-pattern
1,18.77,4,9.31,2,0,Math,High,ADHD-pattern
0,5.46,0,1.59,0,1,English,Low,None
0,18.12,4,11.24,2,1,English,High,ADHD-pattern
1,8.42,0,1.86,0,0,English,Low,None
1,7.76,1,1.67,1,1,English,Low,ADHD-pattern
3,33.45,0,9.29,3,0,Math,Medium,Dyscalculia-pattern
2,28.34,2,21.2,0,1,English,High,ADHD-pattern
0,10.01,0,1.41,1,0,Math,Low,Mixed/Unclear
4,43.46,0,11.33,3,1,Math,High,Dyscalculia-pattern
1,12.03,3,9.24,0,0,Science,High,ADHD-pattern
1,13.22,0,2.05,1,1,English,Low,None
4,21.01,0,16.23,5,0,Math,High,Dyscalculia-pattern
0,9.01,0,1.87,0,0,English,Low,None
2,9.01,2,18.47,0,1,Math,High,ADHD-pattern
1,9.21,0,3.45,0,0,English,Low,None
1,9.73,1,4.29,0,0,English,Low,ADHD-pattern
1,24.28,3,7.18,2,0,Math,Medium,ADHD-pattern
0,12.48,0,2.22,0,1,English,Low,None
1,12.61,1,1.79,1,0,English,Low,ADHD-pattern
0,8.33,0,0.93,1,1,Science,Low,None
0,12.43,0,1.32,1,0,English,Low,None
2,19.78,3,13.21,2,1,Math,High,ADHD-pattern
0,4.42,1,1.71,0,0,English,Low,ADHD-pattern
2,12.2,3,21.58,0,1,Math,High,ADHD-pattern
1,4.1,1,1.12,0,0,English,Low,ADHD-pattern
1,7.23,0,4.25,1,0,English,Low,None
1,9.49,1,2.99,0,1,English,Low,ADHD-pattern
0,3.44,0,1.74,1,1,Math,Low,Mixed/Unclear
1,40.42,0,7.61,5,1,Math,Medium,Dyscalculia-pattern
0,14.92,2,11.16,1,0,English,Medium,ADHD-pattern
2,10.87,1,7.19,0,1,Science,Low,ADHD-pattern
1,11.79,0,3.41,1,0,English,Low,None
0,10.24,1,0.87,1,0,Math,Low,ADHD-pattern
1,11.92,0,1.98,1,1,English,Low,None
1,9.27,0,2.47,0,1,English,Low,None
4,22.97,1,15.39,7,1,Math,High,Dyscalculia-pattern
4,20.12,1,14.65,5,0,Math,High,Dyscalculia-pattern
0,4.72,1,1.28,0,0,Math,Low,ADHD-pattern
2,27.46,4,19.84,2,0,Math,High,ADHD-pattern
0,11.98,1,1.81,0,0,Science,Low,ADHD-pattern
2,13.37,3,15.37,0,0,Science,High,ADHD-pattern
0,33.04,3,18.11,2,0,Science,High,ADHD-pattern
1,20.28,3,9.89,2,1,English,High,ADHD-pattern
0,3.38,0,1.37,0,1,English,Low,None
0,10.45,0,2.83,1,0,English,Low,None
2,22.27,1,16.86,3,1,Math,Medium,Dyscalculia-pattern
1,5.97,1,0.75,0,0,Math,Low,Mixed/Unclear
2,32.82,4,13.12,0,1,Math,High,ADHD-pattern
1,42.24,0,13.83,3,1,Math,Low,Dyscalculia-pattern
1,10.94,0,2.83,0,0,Math,Low,Dyscalculia-pattern
3,41.3,0,9.58,7,0,Math,High,Dyscalculia-pattern
2,19.7,4,20.12,0,1,Math,High,ADHD-pattern
0,4.46,1,2.12,1,0,Math,Low,ADHD-pattern
2,24.09,2,7.98,2,1,English,Medium,ADHD-pattern
0,14.93,1,8.14,0,1,Science,Medium,ADHD-pattern
0,6.45,1,2.38,0,0,Math,Low,ADHD-pattern
0,8.88,0,0.66,0,0,Science,Low,None
2,18.33,3,16.73,2,1,Math,High,ADHD-pattern
0,7.3,1,2.37,1,0,Math,Low,ADHD-pattern
2,28.37,2,17.95,2,0,Science,High,ADHD-pattern
1,5.7,0,1.25,0,0,Science,Low,None
1,6.05,0,3.87,1,0,English,Low,None
0,18.69,4,14.59,2,1,Math,High,ADHD-pattern
1,28.85,2,14.83,0,1,Math,Medium,ADHD-pattern
1,43.04,0,17.83,5,0,Math,Medium,Dyscalculia-pattern
0,9.89,1,1.44,0,0,English,Low,ADHD-pattern
0,8.88,0,0.8,1,0,English,Low,None
2,40.04,0,17.74,5,1,Math,High,Dyscalculia-pattern
2,14.21,2,9.21,1,0,Science,Medium,ADHD-pattern
1,15.97,1,11.03,3,0,Math,Medium,ADHD-pattern
0,7.02,0,1.11,0,0,Math,Low,Mixed/Unclear
2,37.63,0,7.68,5,0,Math,Medium,Dyscalculia-pattern
2,21.53,3,9.03,0,0,Science,High,ADHD-pattern
0,20.15,2,15.64,1,1,Math,High,ADHD-pattern
1,12.07,1,3.79,1,0,English,Low,ADHD-pattern
1,5.17,0,1.25,1,0,English,Low,None
4,44.03,1,12.36,5,0,Math,High,Dyscalculia-pattern
2,4.15,4,19.4,0,0,Math,High,ADHD-pattern
2,21.77,1,19.85,0,0,Math,Medium,ADHD-pattern
1,33.56,1,8.6,0,0,Math,Medium,ADHD-pattern
2,26.9,0,12.62,5,1,Math,High,Dyscalculia-pattern
1,7.78,1,3.05,1,1,Science,Low,ADHD-pattern
0,13.92,4,5.78,0,0,English,High,ADHD-pattern
4,23.86,0,9.96,5,1,Math,High,Dyscalculia-pattern
1,7.32,1,4.87,1,1,English,Low,ADHD-pattern
0,9.48,1,0.96,1,1,English,Low,ADHD-pattern
0,11.51,0,2.41,0,0,Science,Low,None
0,3.08,1,1.43,1,1,Math,Low,ADHD-pattern
1,5.14,1,1.05,1,1,English,Low,ADHD-pattern
1,12.26,0,1.43,0,0,Science,Low,None
3,39.46,0,15.54,3,1,Math,High,Dyscalculia-pattern
0,13.91,0,2.2,0,0,English,Low,None
1,20.02,1,15.82,2,0,English,Medium,ADHD-pattern
2,27.78,1,20.21,0,0,English,Medium,ADHD-pattern
1,3.06,1,16.64,1,0,Science,Medium,ADHD-pattern
0,8.28,1,2.82,0,0,English,Low,ADHD-pattern
4,35.31,1,9.98,7,0,Math,High,Dyscalculia-pattern
3,16.61,0,8.79,3,1,Math,High,Dyscalculia-pattern
0,22.74,4,13.34,1,1,English,High,ADHD-pattern
4,17.57,1,9.54,3,1,Math,High,Dyscalculia-pattern
0,14.23,2,17.57,1,1,Math,High,ADHD-pattern
0,7.0,0,0.76,0,0,Math,Low,Mixed/Unclear
1,5.93,0,2.42,0,1,English,Low,None
1,14.49,1,17.32,2,0,Math,Medium,ADHD-pattern
0,5.42,0,1.73,0,0,English,Low,None
1,17.72,1,11.14,0,1,Math,Medium,ADHD-pattern
0,5.74,1,1.33,1,0,English,Low,ADHD-pattern
1,28.82,2,10.11,2,0,English,Medium,ADHD-pattern
1,11.72,0,2.34,1,0,English,Low,None
1,10.89,4,11.21,2,0,Math,High,ADHD-pattern
1,11.49,0,1.6,0,1,Science,Low,None
1,6.25,1,1.97,0,1,English,Low,ADHD-pattern
2,17.55,4,14.08,2,1,Math,High,ADHD-pattern
0,5.98,0,3.63,1,0,English,Low,None
1,13.7,1,4.86,1,0,Science,Low,ADHD-pattern
0,18.61,2,12.58,1,1,Math,Medium,ADHD-pattern
1,3.94,1,2.8,0,0,English,Low,ADHD-pattern
1,12.99,2,13.86,1,1,Math,Medium,ADHD-pattern
1,7.87,1,1.18,0,0,English,Low,ADHD-pattern
2,42.9,1,8.93,3,1,Math,Medium,Dyscalculia-pattern
1,13.63,0,4.19,0,0,English,Low,None
0,7.05,1,1.47,1,0,English,Low,ADHD-pattern
1,32.32,1,8.24,5,0,Math,Medium,Mixed/Unclear
2,30.4,3,15.15,2,1,Math,High,ADHD-pattern
1,22.18,3,20.62,2,0,English,High,ADHD-pattern
0,5.75,0,1.43,0,1,English,Low,None
0,10.17,1,1.74,0,0,English,Low,ADHD-pattern
0,5.83,1,2.05,0,0,Math,Low,ADHD-pattern
1,11.67,1,1.52,0,0,Math,Low,Mixed/Unclear
0,4.27,1,18.53,0,1,English,Medium,ADHD-pattern
0,4.51,1,1.91,0,1,Math,Low,ADHD-pattern
1,23.04,1,15.88,5,1,Math,Medium,ADHD-pattern
0,13.91,0,3.94,0,1,English,Low,None
1,30.38,1,12.46,0,0,English,Medium,ADHD-pattern
1,12.75,1,1.66,0,0,Science,Low,ADHD-pattern
3,30.97,1,12.47,5,1,Math,High,Dyscalculia-pattern
3,43.57,1,17.83,7,0,Math,High,Dyscalculia-pattern
0,10.8,0,2.25,0,0,English,Low,None
1,7.41,0,2.07,0,0,English,Low,None
2,26.62,3,12.73,1,1,Math,High,ADHD-pattern
4,34.05,1,10.3,3,1,Math,High,Dyscalculia-pattern
0,18.07,3,19.08,1,0,Math,High,ADHD-pattern
0,5.41,1,1.07,0,1,English,Low,ADHD-pattern
0,34.86,2,20.0,1,0,Math,High,ADHD-pattern
3,22.51,0,13.97,7,0,Math,High,Dyscalculia-pattern
1,11.53,0,2.72,0,0,English,Low,None
0,5.95,2,13.83,1,0,Math,Medium,ADHD-pattern
1,9.25,1,0.68,0,0,English,Low,ADHD-pattern
0,6.31,0,0.84,0,1,Math,Low,Mixed/Unclear
0,8.49,0,1.6,1,0,Math,Low,Mixed/Unclear
2,24.5,2,6.47,0,0,Math,Medium,Mixed/Unclear
1,8.16,1,2.26,0,0,Science,Low,ADHD-pattern
0,10.01,0,2.62,1,0,Math,Low,Mixed/Unclear
0,11.73,1,3.58,0,1,Science,Low,ADHD-pattern
1,8.74,0,1.82,0,0,Math,Low,Dyscalculia-pattern
2,15.6,2,17.97,0,0,Math,High,ADHD-pattern
0,2.83,1,21.13,1,1,Math,Medium,ADHD-pattern
1,5.74,0,2.11,1,0,English,Low,None
3,26.72,1,15.16,7,1,Math,High,Dyscalculia-pattern
2,16.16,2,5.98,0,1,Math,Medium,Dyscalculia-pattern
0,7.78,0,1.48,0,0,English,Low,None
2,18.83,3,7.84,0,1,English,Medium,ADHD-pattern
1,10.61,1,9.47,2,0,Math,Medium,ADHD-pattern
1,5.5,0,2.47,1,0,English,Low,None
1,16.32,0,8.93,5,1,Math,Medium,Dyscalculia-pattern
0,7.98,1,1.06,0,0,Math,Low,ADHD-pattern
0,20.65,1,13.53,0,0,English,Medium,ADHD-pattern
1,3.62,1,2.67,0,0,Science,Low,ADHD-pattern
0,13.86,3,14.58,1,0,Science,High,ADHD-pattern
1,13.98,0,3.93,0,0,English,Low,None
0,7.87,0,2.88,0,1,English,Low,None
0,7.77,0,1.55,0,0,Math,Low,Mixed/Unclear
0,11.29,1,2.25,0,0,Math,Low,ADHD-pattern
1,30.16,1,15.84,3,1,Math,Medium,ADHD-pattern
2,33.8,2,9.96,1,1,Math,Medium,Dyscalculia-pattern
1,9.33,2,7.31,2,0,English,Medium,ADHD-pattern
1,7.19,1,0.8,0,0,Math,Low,Mixed/Unclear
1,30.06,1,7.68,2,1,Math,Low,Mixed/Unclear
0,4.56,2,21.46,1,0,Math,High,ADHD-pattern
0,11.57,1,1.89,1,0,Math,Low,ADHD-pattern
0,4.09,0,2.58,0,0,English,Low,None
2,22.61,1,14.9,1,0,English,Medium,ADHD-pattern
1,10.28,0,2.76,0,0,Math,Low,Dyscalculia-pattern
0,11.32,1,2.55,0,0,English,Low,ADHD-pattern
1,6.56,0,4.63,1,1,English,Low,None
0,8.83,1,1.53,1,0,Math,Low,ADHD-pattern
1,6.1,2,15.93,2,0,Math,High,ADHD-pattern
1,9.32,1,2.38,1,1,English,Low,ADHD-pattern
0,8.37,0,2.74,0,0,Math,Low,Mixed/Unclear
2,34.99,2,6.7,2,0,Science,Medium,ADHD-pattern
0,11.88,0,3.3,1,1,Science,Low,None
0,10.26,0,2.78,0,1,Math,Low,Mixed/Unclear
0,10.07,0,4.35,1,1,English,Low,None
0,3.51,0,0.55,0,0,English,Low,None
0,9.45,0,0.65,0,1,Math,Low,Mixed/Unclear
0,11.65,0,2.26,1,0,Math,Low,Mixed/Unclear
1,12.31,2,17.45,1,1,Math,High,ADHD-pattern
3,21.7,1,15.77,5,1,Math,High,Dyscalculia-pattern
0,9.56,1,2.63,1,0,Math,Low,ADHD-pattern
0,10.76,0,4.75,0,1,English,Low,None
1,7.12,1,18.97,2,1,Math,Medium,ADHD-pattern
0,9.86,1,10.96,0,0,Math,Medium,ADHD-pattern
2,15.56,2,20.04,1,1,English,High,ADHD-pattern
0,29.27,2,7.77,0,0,Science,Medium,ADHD-pattern
1,33.38,1,10.81,1,0,Math,Medium,ADHD-pattern
0,8.35,1,2.26,0,1,Science,Low,ADHD-pattern
0,3.91,0,2.94,0,1,English,Low,None
2,10.93,2,6.63,1,1,Science,Medium,ADHD-pattern
0,15.82,3,19.01,2,1,Math,High,ADHD-pattern
0,4.54,0,2.94,0,0,Math,Low,Mixed/Unclear
1,31.48,3,6.55,2,1,English,Medium,ADHD-pattern
1,7.75,1,9.48,1,1,English,Medium,ADHD-pattern
1,19.53,1,14.01,3,1,Math,Medium,ADHD-pattern
2,9.12,1,19.29,2,1,Science,Medium,ADHD-pattern
1,5.69,1,2.76,1,0,Science,Low,ADHD-pattern
0,6.08,1,1.69,0,0,Science,Low,ADHD-pattern
1,3.71,1,1.0,1,0,Math,Low,Mixed/Unclear
2,32.12,1,6.48,2,1,Math,Medium,Dyscalculia-pattern
4,42.51,0,15.44,7,1,Math,High,Dyscalculia-pattern
1,4.35,0,2.81,1,0,English,Low,None
1,10.35,4,14.72,1,0,Science,High,ADHD-pattern
0,22.21,4,5.66,1,0,Math,High,ADHD-pattern
1,2.18,3,10.29,1,0,English,High,ADHD-pattern
2,16.34,3,9.58,1,0,Math,High,ADHD-pattern
1,9.67,0,2.55,1,0,English,Low,None
4,19.07,1,16.55,3,0,Math,High,Dyscalculia-pattern
0,3.3,0,2.8,1,0,Math,Low,Mixed/Unclear
2,14.8,1,16.58,0,1,English,Medium,ADHD-pattern
1,8.28,0,1.36,0,1,English,Low,None
0,14.45,2,19.51,0,0,Math,High,ADHD-pattern
2,15.22,1,19.7,2,0,Math,Medium,ADHD-pattern
2,33.03,0,8.69,7,1,Math,High,Dyscalculia-pattern
1,30.03,4,9.28,1,1,Math,High,ADHD-pattern
0,7.6,0,1.9,1,1,Science,Low,None
1,29.45,0,17.86,7,1,Math,Medium,Dyscalculia-pattern
3,20.65,1,15.19,3,1,Math,High,Dyscalculia-pattern
0,11.49,1,4.99,1,1,English,Low,ADHD-pattern
0,10.25,0,2.37,0,1,English,Low,None
0,29.66,2,9.99,1,0,Science,Medium,ADHD-pattern
0,8.89,0,1.39,1,0,Science,Low,None
1,21.12,4,19.47,1,0,English,High,ADHD-pattern
0,10.81,1,1.82,0,0,English,Low,ADHD-pattern
0,6.68,1,0.86,1,0,Math,Low,ADHD-pattern
2,34.55,3,15.79,0,1,English,High,ADHD-pattern
0,7.41,0,0.82,0,1,Math,Low,Mixed/Unclear
1,14.34,1,14.07,2,1,English,Medium,ADHD-pattern
0,5.16,0,3.51,0,0,English,Low,None
0,6.45,0,0.92,0,0,Math,Low,Mixed/Unclear
1,8.9,0,2.37,1,1,English,Low,None
0,9.15,2,8.59,0,0,Math,Medium,ADHD-pattern
0,8.38,1,4.08,0,0,English,Low,ADHD-pattern
0,6.75,1,0.81,0,0,Math,Low,ADHD-pattern
0,5.71,0,2.16,0,1,Math,Low,Mixed/Unclear
0,18.64,1,9.81,0,1,Math,Medium,ADHD-pattern
2,34.1,3,16.96,1,0,Math,High,ADHD-pattern
0,24.55,4,10.62,0,0,Science,High,ADHD-pattern
4,19.47,0,15.35,3,1,Math,High,Dyscalculia-pattern
2,9.24,3,9.49,0,0,Math,High,ADHD-pattern
1,28.35,3,12.24,0,0,Math,High,ADHD-pattern
0,5.96,1,2.89,0,1,Math,Low,ADHD-pattern
0,5.31,4,21.36,1,1,English,High,ADHD-pattern
0,6.02,0,4.93,0,0,English,Low,None
2,24.23,2,15.39,1,0,Science,High,ADHD-pattern
0,31.23,4,5.78,1,1,English,High,ADHD-pattern
0,13.8,1,3.08,0,1,Science,Low,ADHD-pattern
2,24.16,4,7.53,2,0,English,High,ADHD-pattern
4,40.56,0,6.9,5,1,Math,High,Dyscalculia-pattern
0,18.48,4,11.86,0,0,English,High,ADHD-pattern
1,5.79,1,2.79,0,1,English,Low,ADHD-pattern
1,2.7,1,19.04,2,1,Math,Medium,ADHD-pattern
1,29.15,2,19.35,1,1,English,High,ADHD-pattern
0,9.83,0,0.51,0,1,English,Low,None
1,11.32,0,4.59,1,0,Science,Low,None
2,8.06,1,20.81,1,0,Math,Medium,ADHD-pattern
3,18.23,0,6.56,7,1,Math,High,Dyscalculia-pattern
1,23.56,2,21.39,0,0,Math,High,ADHD-pattern
2,27.67,2,16.76,0,0,Science,High,ADHD-pattern
1,9.54,1,2.67,0,1,English,Low,ADHD-pattern
1,28.46,2,12.02,2,1,English,Medium,ADHD-pattern
